"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.903673190E2,5.039869537E0,-8.294850769E0,1.965592529E1
1.903974720E2,-8.199948120E-1,-5.350773010E0,2.164079773E1
1.904175740E2,-1.516047363E0,-2.595901794E0,1.272563690E1
1.904376760E2,4.509971466E0,-3.328179016E0,4.399351501E-1
1.904829050E2,-1.093925171E0,-2.489742554E1,-2.510878601E0
1.905030070E2,-1.368903351E0,-1.357556946E1,-5.944288788E0
1.905231090E2,-2.082170105E0,-9.837393036E0,-2.970123596E0
1.905432110E2,-6.690037994E0,-9.745933228E0,2.643502808E-1
1.905633120E2,-6.931635590E0,-1.268956192E1,1.151555328E0
1.905834140E2,-4.358785858E0,-1.498937943E1,2.834355927E0
1.906788980E2,-3.179089050E0,-2.121523270E1,7.881260834E0
1.906990000E2,-3.444636841E0,-1.029199768E1,6.288722534E0
1.907191020E2,-3.649860077E0,-4.432881775E0,4.933440857E0
1.907392040E2,-3.560495911E0,-7.855664063E-1,4.208348694E0
1.907593060E2,-3.980522461E0,8.979826355E-1,3.466341705E0
1.907794080E2,-3.916605377E0,2.234553223E0,3.275338898E0
1.907995100E2,-3.653153229E0,3.502716064E0,2.503394165E0
1.908196120E2,-2.733166351E0,4.620441742E0,2.269281006E0
1.908397130E2,-1.215622101E0,4.745431824E0,1.473386078E0
1.908598150E2,-4.915777588E-1,3.398832092E0,5.888754272E-1
1.908799170E2,-7.072792053E-1,1.970652008E0,3.143463135E-1
1.909000190E2,-1.495090942E0,1.224004669E0,5.746549988E-1
1.909201210E2,-2.240690460E0,6.429130554E-1,2.409988403E-2
1.909402230E2,-2.482138367E0,1.227447510E-2,-1.525477753E0
1.909603250E2,-1.787582703E0,-6.551875305E-1,-6.208040314E0
1.909804270E2,-3.873944092E-1,-1.295705566E0,-4.869374084E0
1.910005290E2,-5.959107971E-1,-1.932032318E0,7.933502197E-3
1.910206310E2,-9.642947388E-1,-2.368973694E0,4.548890533E0
1.910407321E2,-1.583556976E0,-6.573729858E0,7.769742737E0
1.911311911E2,7.427105255E0,-2.274310547E1,3.387455750E-1
1.911512931E2,8.916957092E0,-1.407448196E1,-3.341920441E1
1.911713951E2,7.935298462E0,-1.195653625E1,-1.986429199E1
1.911914971E2,4.465064850E0,-1.163126266E1,5.404810638E0
1.912115991E2,1.758393402E0,-1.430200882E1,5.590873718E0
1.912317001E2,1.404678955E0,-1.998179764E1,6.126160583E0
1.912618531E2,3.029699707E0,-2.106180176E1,1.023092468E1
1.912819551E2,4.563110962E0,-1.502455627E1,8.917406158E0
1.913020571E2,3.166664886E0,-1.063448547E1,6.093977509E0
1.913221591E2,2.110610962E0,-7.842491455E0,5.592370605E0
1.913422611E2,1.344953156E0,-5.762716370E0,4.962181091E0
1.913623631E2,5.501060486E-1,-4.193080444E0,4.597090302E0
1.913824651E2,7.723937988E-2,-3.035088501E0,4.281845856E0
1.914025671E2,2.903961182E-2,-1.709894257E0,3.828738098E0
1.914226681E2,-1.170565796E-1,-1.409019928E0,3.799099731E0
1.914427701E2,1.686991882E-1,-3.111130371E0,3.201392670E0
1.914628721E2,1.508712616E0,-5.796995087E0,6.403683472E-1
1.914829741E2,2.470911713E0,-8.922196198E0,8.861572266E-2
1.915030761E2,3.553759918E0,-1.097592545E1,6.698570251E-1
1.915231781E2,3.303929443E0,-9.445507965E0,8.373587036E-1
1.915432801E2,8.791218567E-1,-5.890101471E0,2.524500275E0
1.915633821E2,-2.101030884E0,-7.377258911E0,-3.650907898E0
1.915834841E2,-1.827549591E0,-7.135062561E0,-2.032024384E0
1.916035851E2,-1.421144714E0,-7.423961792E0,4.655319214E-2
1.916236871E2,-1.875599670E0,-1.191821594E1,3.057541809E0
1.916437891E2,-1.313069458E0,-1.702305038E1,6.180796967E0
1.916940441E2,3.965403900E0,-2.174797485E1,5.810916138E0
1.917141461E2,2.940185852E0,-1.577419739E1,2.787653046E0
1.917342481E2,-6.560856628E-1,-1.378977402E1,1.507365417E0
1.917543501E2,3.823049927E-1,-8.942254486E0,-2.190544739E0
1.917744521E2,8.002359009E-1,-4.202361145E0,-9.918374634E-1
1.917945541E2,1.252894592E-1,-3.535797272E0,-6.156697083E-1
1.918146551E2,1.000818787E0,-3.429817657E0,-3.137924652E0
1.918347571E2,2.634521484E0,-2.605631561E0,-2.731070709E0
