"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.492146875E0,-3.379621029E0,-6.859359145E-1,-4.542348161E-2
6.512248875E0,-9.997693300E-1,-4.280776501E0,1.299868077E-1
6.532349875E0,1.346936822E0,-3.242295027E0,-4.680314660E-2
6.552451875E0,2.675667286E0,-4.624475956E0,-6.251815557E-1
6.572553875E0,3.242360830E0,-4.011032581E0,-5.798894167E-1
6.592654875E0,3.368937016E0,-1.103582025E0,-6.714221090E-2
6.612756875E0,3.090376139E0,3.077395916E0,4.057297409E-1
6.632858875E0,2.322101831E0,6.409163952E0,1.248709440E0
6.652959875E0,1.507865191E0,7.729071140E0,2.070086718E0
6.673061875E0,4.831198454E-1,7.553534031E0,2.245532990E0
6.693163875E0,-3.494493067E-1,5.444689274E0,1.835425019E0
6.713264875E0,-4.647733271E-1,1.137121439E0,1.322820663E0
6.733366875E0,2.154456526E-1,-2.231603622E0,9.326776266E-1
6.753467875E0,1.362403274E0,-3.338726759E0,5.157704353E-1
6.773569875E0,3.154246807E0,-7.630881071E-1,4.591509700E-1
6.793671875E0,3.171288490E0,2.632019520E0,5.970685482E-1
6.813772875E0,1.077119112E0,4.786482334E0,2.539672144E-2
6.833874875E0,-6.854466200E-1,5.977448463E0,-7.745291591E-1
6.853976875E0,-1.100774407E0,5.459657192E0,-1.398070455E0
6.874078000E0,-9.062866569E-1,4.085431576E0,-1.786121726E0
6.894180000E0,-9.590358734E-1,1.313984632E0,-2.396407843E0
6.914282000E0,-6.741372347E-1,1.352087259E0,-2.527748346E0
6.934383000E0,-8.073633909E-1,6.606642723E0,-2.351487398E0
6.954485000E0,-6.774685979E-1,6.084182739E0,-2.579136848E0
6.974586000E0,-4.825716913E-1,7.258770466E-1,-2.461267471E0
6.994688000E0,-1.338700771E0,-1.671876192E0,-1.348768950E0
7.014790000E0,-1.887775302E0,-2.419941664E0,8.162927814E-3
7.034891000E0,-2.038442850E0,-2.777290344E0,1.070415020E0
7.054993000E0,-1.687133431E0,-2.122511864E0,1.728163004E0
7.075095000E0,-9.727253914E-1,-4.675321877E-1,1.882135749E0
7.095196000E0,-1.689377129E-1,7.578675151E-1,1.412268639E0
7.115298000E0,7.061287761E-1,8.908999562E-1,5.380294323E-1
7.135400000E0,1.519991159E0,5.191379786E-1,-4.467552528E-2
7.155501000E0,1.848945260E0,1.844024211E-1,7.529388368E-2
7.175603000E0,1.978064179E0,2.391558290E-1,5.290739536E-1
7.195704000E0,2.024941444E0,-6.078311205E-1,9.820201397E-1
7.215806000E0,2.429904938E0,-6.596361399E-1,1.189251781E0
7.235908000E0,8.083587885E-1,4.862162590E0,1.097702831E-1
7.256009000E0,-6.227922440E-1,5.915742397E0,-6.373140812E-1
7.276111000E0,-1.126243472E0,3.357367516E0,-7.917704582E-1
7.296213000E0,-8.270583749E-1,-1.187169790E0,-3.590271771E-1
7.316314000E0,-1.032821655E0,-4.772893906E0,2.539047003E-1
7.336416000E0,-9.674260616E-1,-4.837636948E0,6.023904085E-1
7.356518000E0,-2.157297581E-1,-2.711220026E0,5.640426278E-2
7.376619000E0,7.985407710E-1,-6.949707866E-1,-4.881256819E-1
7.396721000E0,-3.643688187E-2,5.717459321E-1,-2.863888443E-1
7.416822000E0,-9.012312293E-1,2.669900894E0,-9.460623562E-2
7.436924000E0,-9.838353992E-1,4.762080669E0,1.815648973E-1
7.457026000E0,-3.950270414E-1,5.231788635E0,6.643013358E-1
7.477127000E0,1.777388334E0,2.068248034E0,5.929802060E-1
7.497229000E0,2.643937588E0,-3.837647140E-1,3.459845781E-1
7.517331000E0,1.940259933E0,-1.395046949E0,1.535518467E-1
